405,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.103,0.103,0.105,368,3267,3974,6729,12203,14752,15948,18895,24517,28418,31062,36298
420,0.096,0.099,0.098,0.098,0.102,0.1,0.105,0.106,0.103,0.103,0.104,0.106,369,3266,3969,6722,12213,14744,15960,18892,24523,28407,31066,36287
435,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.103,0.103,0.105,369,3264,3972,6715,12209,14756,15950,18915,24518,28385,31044,36283
450,0.096,0.099,0.097,0.097,0.101,0.1,0.104,0.105,0.103,0.102,0.103,0.105,371,3262,3971,6722,12183,14762,15945,18920,24548,28384,31064,36291
465,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.102,0.103,0.105,372,3262,3973,6721,12199,14758,15941,18910,24527,28407,31018,36310
480,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.102,0.103,0.105,372,3260,3970,6722,12210,14752,15938,18936,24501,28377,31064,36301
495,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,375,3260,3974,6714,12193,14749,15941,18904,24515,28370,31017,36306
510,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,376,3263,3977,6712,12210,14747,15954,18899,24483,28363,31001,36271
525,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.106,0.103,0.103,0.103,0.105,376,3258,3980,6708,12200,14746,15941,18923,24526,28373,31011,36272
540,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,378,3262,3979,6716,12205,14741,15964,18922,24497,28385,31060,36253
555,0.097,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,380,3258,3967,6711,12196,14735,15933,18918,24463,28343,30997,36194
570,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,381,3261,3977,6712,12220,14748,15954,18927,24502,28345,31050,36268
585,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.105,382,3256,3973,6712,12216,14729,15946,18899,24482,28352,31018,36268
600,0.096,0.098,0.097,0.097,0.101,0.1,0.104,0.105,0.103,0.102,0.103,0.105,386,3258,3977,6724,12222,14736,15949,18910,24491,28381,31049,36293
615,0.096,0.099,0.097,0.097,0.102,0.1,0.103,0.105,0.102,0.102,0.103,0.106,388,3257,3979,6724,12220,14763,15951,18919,24487,28404,31041,36323
630,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.103,0.102,0.103,0.106,390,3259,3976,6707,12215,14730,15939,18910,24482,28327,30957,36209
645,0.096,0.099,0.097,0.097,0.101,0.1,0.104,0.105,0.102,0.102,0.103,0.105,396,3265,3978,6728,12223,14742,15935,18917,24482,28381,31022,36274
660,0.096,0.099,0.097,0.097,0.101,0.099,0.103,0.105,0.102,0.102,0.102,0.106,398,3262,3981,6717,12192,14725,15939,18908,24482,28368,31014,36202
675,0.096,0.099,0.097,0.097,0.102,0.1,0.104,0.105,0.102,0.102,0.103,0.105,409,3264,3982,6714,12214,14730,15938,18907,24472,28292,30989,36172
